Тема,Буква,Текст,Картинка 1,Картинка 2,Описание картинки 1,Описание картинки 2,Кто делает
"Досуг молодёжи: посещение кружков, спортивных секций, клубов по интересам. Переписка",Е,"Task 4. Imagine that you are doing a project “Getting news” together with your friend. You have found some illustrations and want to share the news. Leave a voice message to your friend. In 2.5 minutes be ready to:

·    give a brief description of the photos, justifying the choice of the photos for the project;
·    say in what way the pictures are different, justifying the choice of the photos for the project;
·    mention the advantages and disadvantages (1–2) of the two types of getting news;
·    express your opinion on the subject of the project – which way of getting news presented in the pictures you prefer and why.
 
You will speak for not more than 3 minutes (12–15 sentences). You have to talk continuously.",https://ege.fipi.ru/os11/docs/4B53A6CB75B0B5E1427E596EB4931A2A/questions/7036222B2E238F414CB556F3402FB930(copy2)/xs3qstsrc7036222B2E238F414CB556F3402FB930_10_1605619900.jpg,https://ege.fipi.ru/os11/docs/4B53A6CB75B0B5E1427E596EB4931A2A/questions/7036222B2E238F414CB556F3402FB930(copy2)/xs3qstsrc7036222B2E238F414CB556F3402FB930_11_1605619900.jpg,In the photo we see the young man lying in bed reading a newspaper.,"In the photo, we see the young people sitting focused on their phones. ",Маша
"Повседневная жизнь и быт, распределение домашних обязанностей в семье. Покупки",А,"Task 4. Imagine that you are doing a project “Household chores” together with your friend. You have found some illustrations and want to share the news. Leave a voice message to your friend. In 2.5 minutes be ready to:

·    give a brief description of the photos, justifying the choice of the photos for the project;
·    say in what way the pictures are different, justifying the choice of the photos for the project;
·    mention the advantages and disadvantages (1–2) of the two types of household chores;
·    express your opinion on the subject of the project – which type of household chores presented in the pictures you prefer and why.
 
You will speak for not more than 3 minutes (12–15 sentences). You have to talk continuously.",https://ege.fipi.ru/os11/docs/4B53A6CB75B0B5E1427E596EB4931A2A/questions/4431876FEB99B2C7403CFC3DF62ECBF8(copy2)/xs3qstsrc4431876FEB99B2C7403CFC3DF62ECBF8_10_1605621902.jpg,https://ege.fipi.ru/os11/docs/4B53A6CB75B0B5E1427E596EB4931A2A/questions/4431876FEB99B2C7403CFC3DF62ECBF8(copy2)/xs3qstsrc4431876FEB99B2C7403CFC3DF62ECBF8_11_1605621902.jpg,In the photo we see the girl standing in front of the kitchen sink and washing the dishes.,In the photo we see the young man cleaning the living room. He is currently vacuuming the floor.,Маша
"Здоровье и забота о нём, самочувствие, медицинские услуги. Здоровый образ жизни",Г,"Task 4. Imagine that you are doing a project “Food preferences” together with your friend. You have found some illustrations and want to share the news. Leave a voice message to your friend. In 2.5 minutes be ready to:

·    give a brief description of the photos, justifying the choice of the photos for the project;
·    say in what way the pictures are different, justifying the choice of the photos for the project;
·    mention the advantages and disadvantages (1–2) of the two types of food;
·    express your opinion on the subject of the project – which kind of food presented in the pictures you prefer and why.
 
You will speak for not more than 3 minutes (12–15 sentences). You have to talk continuously.",https://ege.fipi.ru/os11/docs/4B53A6CB75B0B5E1427E596EB4931A2A/questions/00B502B2B10C9ED34CA244FB5B64CE63(copy2)/xs3qstsrc00B502B2B10C9ED34CA244FB5B64CE63_10_1605622840.jpg,https://ege.fipi.ru/os11/docs/4B53A6CB75B0B5E1427E596EB4931A2A/questions/00B502B2B10C9ED34CA244FB5B64CE63(copy2)/xs3qstsrc00B502B2B10C9ED34CA244FB5B64CE63_11_1605622840.jpg,In the photo we see the girl sitting on the sofa holding a plate of salad. The salad consists of fresh vegetables. The girl is smiling and eating this salad.,"In the photo, we see a girl sitting at a table with a plate of hamburger in front of her. The girl is about to eat this hamburger.",Маша
"Досуг молодёжи: посещение кружков, спортивных секций, клубов по интересам. Переписка",Е,"Task 4. Imagine that you are doing a project “Hobbies” together with your friend. You have found some illustrations and want to share the news. Leave a voice message to your friend. In 2.5 minutes be ready to:

·    give a brief description of the photos, justifying the choice of the photos for the project;
·    say in what way the pictures are different, justifying the choice of the photos for the project;
·    mention the advantages and disadvantages (1–2) of the two types of hobby;
·    express your opinion on the subject of the project – which of the hobbies presented in the pictures you’d prefer and why.
 
You will speak for not more than 3 minutes (12–15 sentences). You have to talk continuously.",https://ege.fipi.ru/os11/docs/4B53A6CB75B0B5E1427E596EB4931A2A/questions/0A53B6BD91F3A7ED47A19BE33E85B508(copy2)/xs3qstsrc0A53B6BD91F3A7ED47A19BE33E85B508_2_1605622559.jpg,https://ege.fipi.ru/os11/docs/4B53A6CB75B0B5E1427E596EB4931A2A/questions/0A53B6BD91F3A7ED47A19BE33E85B508(copy2)/xs3qstsrc0A53B6BD91F3A7ED47A19BE33E85B508_3_1605622559.jpg,"In the photo, we see the girl standing in a guard with her boxing gloves on.",In the photo we see a girl in a beautiful dress playing the piano.,Маша
"Досуг молодёжи: посещение кружков, спортивных секций, клубов по интересам. Переписка",Е,"Task 4. Imagine that you are doing a project “Leisure activities in childhood” together with your friend. You have found some illustrations and want to share the news. Leave a voice message to your friend. In 2.5 minutes be ready to:

·    give a brief description of the photos, justifying the choice of the photos for the project;
·    say in what way the pictures are different, justifying the choice of the photos for the project;
·    mention the advantages and disadvantages (1–2) of the two types of leisure activities in childhood;
·    express your opinion on the subject of the project – which type of leisure activities presented in the pictures you preferred as a child and why.
 
You will speak for not more than 3 minutes (12–15 sentences). You have to talk continuously.",https://ege.fipi.ru/os11/docs/4B53A6CB75B0B5E1427E596EB4931A2A/questions/CB583C6F1615864642D84FFE968ED87E(copy2)/xs3qstsrcCB583C6F1615864642D84FFE968ED87E_10_1605618479.jpg,https://ege.fipi.ru/os11/docs/4B53A6CB75B0B5E1427E596EB4931A2A/questions/CB583C6F1615864642D84FFE968ED87E(copy2)/xs3qstsrcCB583C6F1615864642D84FFE968ED87E_11_1605618479.jpg,The photo shows a father and son fishing on a pier on a river or lake.,"The photo shows dad, mum and daughter sitting at a table and playing a board game together.",Маша
"Повседневная жизнь и быт, распределение домашних обязанностей в семье. Покупки",А,"Task 4. Imagine that you are doing a project “Tastes differ” together with your friend. You have found some illustrations and want to share the news. Leave a voice message to your friend. In 2.5 minutes be ready to:

·    give a brief description of the photos, justifying the choice of the photos for the project;
·    say in what way the pictures are different, justifying the choice of the photos for the project;
·    mention the advantages and disadvantages (1–2) of the two ways of getting around the city;
·    express your opinion on the subject of the project – which of these ways of getting around the city you’d prefer and why.
 
You will speak for not more than 3 minutes (12–15 sentences). You have to talk continuously.",https://ege.fipi.ru/os11/docs/4B53A6CB75B0B5E1427E596EB4931A2A/questions/A32206342EB887B74B212A2207BA4F02(copy1)/xs3qstsrcA32206342EB887B74B212A2207BA4F02_2_1646299851.jpg,https://ege.fipi.ru/os11/docs/4B53A6CB75B0B5E1427E596EB4931A2A/questions/A32206342EB887B74B212A2207BA4F02(copy1)/xs3qstsrcA32206342EB887B74B212A2207BA4F02_4_1646299851.jpg,The photo shows the girl sitting in the car at the wheel.,The photo shows a girl waving her right hand to catch a taxi on a busy street.,Маша
"Досуг молодёжи: посещение кружков, спортивных секций, клубов по интересам. Переписка",Е,"Task 4. Imagine that you are doing a project “Tastes differ” together with your friend. You have found some illustrations and want to share the news. Leave a voice message to your friend. In 2.5 minutes be ready to:

·    give a brief description of the photos, justifying the choice of the photos for the project;
·    say in what way the pictures are different, justifying the choice of the photos for the project;
·    mention the advantages and disadvantages (1–2) of the two ways of spending free time;
·    express your opinion on the subject of the project – which of these ways of spending free time you would prefer and why.
 
You will speak for not more than 3 minutes (12–15 sentences). You have to talk continuously.",https://ege.fipi.ru/os11/docs/4B53A6CB75B0B5E1427E596EB4931A2A/questions/459D978B3C20AD3D465387113BCD7DC3(copy1)/xs3qstsrc459D978B3C20AD3D465387113BCD7DC3_3_1646300244.jpg,https://ege.fipi.ru/os11/docs/4B53A6CB75B0B5E1427E596EB4931A2A/questions/459D978B3C20AD3D465387113BCD7DC3(copy1)/xs3qstsrc459D978B3C20AD3D465387113BCD7DC3_5_1646300244.png,The photo shows a volleyball game in progress. On one side of the net the women's team is playing.,The photo shows three beautiful girls dancing at a party or nightclub.,Маша
"Школьное образование. Изучаемые предметы, отношение к ним. Каникулы",Р,"Task 4. Imagine that you are doing a project “Preparing for exams” together with your friend. You have found some illustrations and want to share the news. Leave a voice message to your friend. In 2.5 minutes be ready to:

·    give a brief description of the photos, justifying the choice of the photos for the project;
·    say in what way the pictures are different, justifying the choice of the photos for the project;  
·    mention the advantages and disadvantages (1–2) of the two types of preparing for exams;
·    express your opinion on the subject of the project – whether you prefer preparing for exams alone or in somebody’s company and why.
 
You will speak for not more than 3 minutes (12–15 sentences). You have to talk continuously.",https://ege.fipi.ru/os11/docs/4B53A6CB75B0B5E1427E596EB4931A2A/questions/106DE274DCB1824E439752C7BB0F56BA(copy1)/xs3qstsrc106DE274DCB1824E439752C7BB0F56BA_2_1642602907.jpg,https://ege.fipi.ru/os11/docs/4B53A6CB75B0B5E1427E596EB4931A2A/questions/106DE274DCB1824E439752C7BB0F56BA(copy1)/xs3qstsrc106DE274DCB1824E439752C7BB0F56BA_4_1642602907.jpg,The photo shows the girl sitting at her desk in front of her laptop and writing something. She is probably in her room. She is probably doing her homework.,The photo shows four young people sitting in a library reading books. Perhaps they are preparing for a class.,Маша
Новые информационные технологии,Т,"Task 4. Imagine that you are doing a project “Reading a book” together with your friend. You have found some illustrations and want to share the news. Leave a voice message to your friend. In 2.5 minutes be ready to:

·    give a brief description of the photos, justifying the choice of the photos for the project;
·    say in what way the pictures are different, justifying the choice of the photos for the project;  
·    mention the advantages and disadvantages (1–2) of the two ways of reading books;
·    express your opinion on the subject of the project – which of the ways of reading a book presented in the pictures you’d prefer and why.
 
You will speak for not more than 3 minutes (12–15 sentences). You have to talk continuously.",https://ege.fipi.ru/os11/docs/4B53A6CB75B0B5E1427E596EB4931A2A/questions/1E1F29B6066FBBAD4198BFDBAE180E77/xs3qstsrc1E1F29B6066FBBAD4198BFDBAE180E77_2_1471622201.jpg,https://ege.fipi.ru/os11/docs/4B53A6CB75B0B5E1427E596EB4931A2A/questions/1E1F29B6066FBBAD4198BFDBAE180E77/xs3qstsrc1E1F29B6066FBBAD4198BFDBAE180E77_4_1471622201.jpg,"Beautiful young woman is reading a book, using the tablet. She is wearing a dress, her hair is dark.","Beautiful young woman is reading a book in a bus or train. She is wearing a shirt, her hair is blonde.",Катя
"Досуг молодёжи: посещение кружков, спортивных секций, клубов по интересам. Переписка",Е,"Task 4. Imagine that you are doing a project “Spending free time” together with your friend. You have found some illustrations and want to share the news. Leave a voice message to your friend. In 2.5 minutes be ready to:

·    give a brief description of the photos, justifying the choice of the photos for the project;
·    say in what way the pictures are different, justifying the choice of the photos for the project;
·    mention the advantages and disadvantages (1–2) of the two ways of spending free time;
·    express your opinion on the subject of the project – which way of spending free time presented in the pictures you’d prefer and why.
 
You will speak for not more than 3 minutes (12–15 sentences). You have to talk continuously.",https://ege.fipi.ru/os11/docs/4B53A6CB75B0B5E1427E596EB4931A2A/questions/8B0A256BAFDDAC834F9E314C78311AA4/xs3qstsrc8B0A256BAFDDAC834F9E314C78311AA4_2_1471622329.jpg,https://ege.fipi.ru/os11/docs/4B53A6CB75B0B5E1427E596EB4931A2A/questions/8B0A256BAFDDAC834F9E314C78311AA4/xs3qstsrc8B0A256BAFDDAC834F9E314C78311AA4_4_1471622329.jpg,Three teenagers are playng a ball game. They are wearing a red sports uniform.,Three beautiful young ladies are dancing in the club. They are wearing modern bright dresses.,Катя
"Здоровье и забота о нём, самочувствие, медицинские услуги. Здоровый образ жизни",Г,"Task 4. Imagine that you are doing a project “Health” together with your friend. You have found some illustrations and want to share the news. Leave a voice message to your friend. In 2.5 minutes be ready to:

·    give a brief description of the photos, justifying the choice of the photos for the project;
·    say in what way the pictures are different, justifying the choice of the photos for the project;
·    mention the advantages and disadvantages (1–2) of the two ways of taking care of your health;
·    express your opinion on the subject of the project – which of the ways of taking care of your health presented in the pictures you’d prefer and why.
 
You will speak for not more than 3 minutes (12–15 sentences). You have to talk continuously.",https://ege.fipi.ru/os11/docs/4B53A6CB75B0B5E1427E596EB4931A2A/questions/BE1A60859922A47340E7CE5413372312/xs3qstsrcBE1A60859922A47340E7CE5413372312_2_1471622178.jpg,https://ege.fipi.ru/os11/docs/4B53A6CB75B0B5E1427E596EB4931A2A/questions/BE1A60859922A47340E7CE5413372312/xs3qstsrcBE1A60859922A47340E7CE5413372312_4_1471622178.jpg,Beautiful young woman is running on a treadmill in th gym. There are other people around her. She is wearing a sports uniform (white top) and looks happy.,Beautiful young woman is running alone in the forest. She is wearing a red T-shirt and black trousers. She looks very happy.,Катя
"Досуг молодёжи: посещение кружков, спортивных секций, клубов по интересам. Переписка",Е,"Task 4. Imagine that you are doing a project “Spending free time” together with your friend. You have found some illustrations and want to share the news. Leave a voice message to your friend. In 2.5 minutes be ready to:

·    give a brief description of the photos, justifying the choice of the photos for the project;
·    say in what way the pictures are different, justifying the choice of the photos for the project;
·    mention the advantages and disadvantages (1–2) of the two ways of spending free time;
·    express your opinion on the subject of the project – which way of spending free time presented in the pictures you’d prefer and why.
 
You will speak for not more than 3 minutes (12–15 sentences). You have to talk continuously.",https://ege.fipi.ru/os11/docs/4B53A6CB75B0B5E1427E596EB4931A2A/questions/663268CE660CA98F496174EC9CA322E4(copy1)/xs3qstsrc663268CE660CA98F496174EC9CA322E4_2_1479311364.jpg,https://ege.fipi.ru/os11/docs/4B53A6CB75B0B5E1427E596EB4931A2A/questions/663268CE660CA98F496174EC9CA322E4(copy1)/xs3qstsrc663268CE660CA98F496174EC9CA322E4_4_1479311364.jpg,"The photo shows us two little girls, reading one book together. Both girls have fair hair.","The photo shows us two little girls and one boy, swimming in the pool together. The first girl is wearing a red swimsuit while the second one - blue swimsuit.",Катя
"Досуг молодёжи: посещение кружков, спортивных секций, клубов по интересам. Переписка",Е,"Task 4. Imagine that you are doing a project “Spending free time” together with your friend. You have found some illustrations and want to share the news. Leave a voice message to your friend. In 2.5 minutes be ready to:

·    give a brief description of the photos, justifying the choice of the photos for the project;
·    say in what way the pictures are different, justifying the choice of the photos for the project;
·    mention the advantages and disadvantages (1–2) of the two ways of spending free time;
·    express your opinion on the subject of the project – which way of spending free time presented in the pictures you’d prefer and why.
 
You will speak for not more than 3 minutes (12–15 sentences). You have to talk continuously.",https://ege.fipi.ru/os11/docs/4B53A6CB75B0B5E1427E596EB4931A2A/questions/008427C15017B21345546AE1D8C027E2(copy1)/xs3qstsrc008427C15017B21345546AE1D8C027E2_2_1479379135.jpg,https://ege.fipi.ru/os11/docs/4B53A6CB75B0B5E1427E596EB4931A2A/questions/008427C15017B21345546AE1D8C027E2(copy1)/xs3qstsrc008427C15017B21345546AE1D8C027E2_4_1479379135.jpg,The photo shows us a group of teens doing sports together. They are probably in the park. All of them are wearing sports uniform.,"The photo shows us two young couples. They are walking down the street, holding packages. It looks like they have just finished their shopping. The weather is probably cold as all of them are wearing coats.",Катя
